"covariate","coef","exp_coef","std_error","z_value","p_value"
"(Intercept):1",5.9472,382.6803,0.3374,17.6266,0
"(Intercept):2",6.3046,547.0827,0.3323,18.9726,0
"(Intercept):3",7.4747,1762.8727,0.3522,21.2229,0
"bmi:1",-0.1992,0.8194,0.0093,-21.4194,0
"bmi:2",-0.1859,0.8304,0.0085,-21.8706,0
"bmi:3",-0.1912,0.826,0.0086,-22.2326,0
"sex:1",-0.4198,0.6572,0.0916,-4.583,0
"sex:2",-0.4443,0.6413,0.0897,-4.9532,0
"sex:3",-0.6127,0.5419,0.0966,-6.3427,0
"age",-0.0131,0.987,0.0024,-5.4583,0
"salt_stan",-0.1377,0.8714,0.0445,-3.0944,0.002
"prediabetes",-0.3459,0.7076,0.0997,-3.4694,5e-04
"diabetes",-0.6649,0.5143,0.1193,-5.5733,0
"vit_e",0.0276,1.028,0.0075,3.68,2e-04
"mins_seden_daily_stan:1",0.02,1.0202,0.0448,0.4464,0.6553
"mins_seden_daily_stan:2",-0.0178,0.9824,0.0436,-0.4083,0.6831
"mins_seden_daily_stan:3",-0.098,0.9066,0.0461,-2.1258,0.0335
"drk_but_no12",0.0064,1.0064,0.164,0.039,0.9689
"rare_drink",0.0496,1.0509,0.1497,0.3313,0.7404
"some_drink",0.1775,1.1942,0.1558,1.1393,0.2546
"often_drink",-0.0754,0.9274,0.1609,-0.4686,0.6394
"cig_smoker_ever",-0.2033,0.816,0.0766,-2.654,0.008
