"covariate","coef","exp_coef","std_error","z_value","p_value"
"(Intercept):1",3.8005,44.7235,0.2926,12.9887,0
"(Intercept):2",4.3433,76.9611,0.2889,15.0339,0
"(Intercept):3",5.4088,223.3634,0.3032,17.8391,0
"bmi:1",-0.1255,0.8821,0.0073,-17.1918,0
"bmi:2",-0.1263,0.8814,0.0068,-18.5735,0
"bmi:3",-0.1386,0.8706,0.0071,-19.5211,0
"sex:1",-0.3402,0.7116,0.0857,-3.9697,1e-04
"sex:2",-0.3217,0.7249,0.0845,-3.8071,1e-04
"sex:3",-0.399,0.671,0.0886,-4.5034,0
"age",-0.0097,0.9903,0.0024,-4.0417,1e-04
"salt_stan",-0.1126,0.8935,0.0431,-2.6125,0.009
"prediabetes",-0.2702,0.7632,0.0979,-2.76,0.0058
"diabetes",-0.4886,0.6135,0.1158,-4.2193,0
"vit_e",0.0228,1.0231,0.0073,3.1233,0.0018
"mins_seden_daily_stan:1",0.0469,1.048,0.0409,1.1467,0.2515
"mins_seden_daily_stan:2",-0.0019,0.9981,0.0399,-0.0476,0.962
"mins_seden_daily_stan:3",-0.087,0.9167,0.042,-2.0714,0.0383
"drk_but_no12",0.0491,1.0503,0.1602,0.3065,0.7592
"rare_drink",0.069,1.0714,0.1461,0.4723,0.6367
"some_drink",0.1536,1.166,0.1519,1.0112,0.3119
"often_drink",-0.0163,0.9838,0.1573,-0.1036,0.9175
"cig_smoker_ever",-0.1606,0.8516,0.075,-2.1413,0.0322
