"","X2","df","probability"
"Omnibus",47.7639037606805,26,0.00575237587919535
"bmi",8.95170100011323,2,0.0113805388583445
"sex",7.19737233566253,2,0.0273596448256342
"age",2.43738502850495,2,0.295616428620311
"salt_stan",1.99071410153004,2,0.369591458069676
"prediabetes",5.09142824991827,2,0.0784170324205454
"diabetes",5.68480453454389,2,0.0582854803483878
"vit_e",1.14301626938055,2,0.564673192979403
"mins_seden_daily_stan",7.09849983505939,2,0.0287461935855123
"drk_but_no12",0.787887936644131,2,0.674391842488341
"rare_drink",1.75181508340504,2,0.416483871629971
"some_drink",2.90771208968169,2,0.233667516227592
"often_drink",3.30366361147035,2,0.19169843251296
"cig_smoker_ever",3.51121088536199,2,0.172802588551498
